epoch,train_loss,val_pr_auc,val_roc_auc,val_acc,val_precision,val_recall,val_f1
1,1.4222316429687478,0.015807725513137506,0.37850098619329386,0.3473227206946454,0.017699115044247787,0.5333333333333333,0.03426124197002141
2,1.3820790218030319,0.015084223198968402,0.34201183431952664,0.7308248914616498,0.0,0.0,0.0
3,1.3125168368026248,0.014280156255648373,0.2953648915187377,0.8205499276410999,0.0,0.0,0.0
4,1.1504999911560854,0.013595375434082149,0.2453648915187377,0.9117221418234442,0.0,0.0,0.0
5,0.8337708968674568,0.012963450973668706,0.18619329388560157,0.9363241678726484,0.0,0.0,0.0
6,0.35787541420345886,0.012807091549266786,0.17534516765285998,0.9261939218523878,0.0,0.0,0.0
7,0.18338768833280472,0.012953156715948442,0.1968441814595661,0.918958031837916,0.0,0.0,0.0
8,0.17614821837365885,0.012782608477481066,0.17840236686390532,0.9088277858176556,0.0,0.0,0.0
9,0.16443507194346527,0.012529848948484724,0.16232741617357002,0.9276410998552822,0.0,0.0,0.0
10,0.10914984922829137,0.012341865981616892,0.1606508875739645,0.9507959479015919,0.0,0.0,0.0
11,0.10482774240365077,0.012367930595414148,0.1655818540433925,0.9551374819102749,0.0,0.0,0.0
12,0.0760795231504223,0.012413639029206502,0.16646942800788955,0.9522431259044862,0.0,0.0,0.0
13,0.0747686520962829,0.012536209679609073,0.17228796844181457,0.9638205499276411,0.0,0.0,0.0
14,0.050437543101813614,0.012673505315069796,0.17781065088757397,0.9782923299565847,0.0,0.0,0.0
15,0.1626769179200643,0.01254444284522019,0.17790927021696254,0.9782923299565847,0.0,0.0,0.0
16,0.04344192585556103,0.012372876576371143,0.1822485207100592,0.9406657018813314,0.0,0.0,0.0
17,0.09048749771718523,0.012395785803175102,0.191025641025641,0.9131693198263386,0.0,0.0,0.0
18,0.12207244194278496,0.012473738730611085,0.20118343195266272,0.8914616497829233,0.0,0.0,0.0
19,0.14115687510384148,0.012521791482531706,0.20631163708086786,0.8784370477568741,0.0,0.0,0.0
20,0.14824912495447481,0.01257706084836465,0.21084812623274163,0.8755426917510853,0.0,0.0,0.0
21,0.15170145832681448,0.012589618130229262,0.21203155818540437,0.8755426917510853,0.0,0.0,0.0
22,0.14751109506735408,0.012631029013770613,0.21518737672583826,0.8784370477568741,0.0,0.0,0.0
23,0.13841135316837025,0.01265211781401594,0.21637080867850098,0.8784370477568741,0.0,0.0,0.0
24,0.12470195838149135,0.01266367501063934,0.2168639053254438,0.8784370477568741,0.0,0.0,0.0
25,0.11508156298814738,0.012669995858904569,0.21715976331360948,0.8813314037626628,0.0,0.0,0.0
26,0.10276136815806719,0.012669519475761287,0.21646942800788954,0.8900144717800289,0.0,0.0,0.0
27,0.09419622552593261,0.012670765419297632,0.21617357001972384,0.8958031837916064,0.0,0.0,0.0
28,0.08509771902701789,0.012665873733607802,0.21538461538461537,0.9015918958031838,0.0,0.0,0.0
29,0.08036150833977286,0.012661569423142987,0.2148915187376726,0.9088277858176556,0.0,0.0,0.0
30,0.07641726913396943,0.012671791478857051,0.21548323471400394,0.9117221418234442,0.0,0.0,0.0
